Mês;Linha;Fabricante;Quantidade
01/01/2012;Semileves;Agrale;0
01/02/2012;Semileves;Agrale;1
01/03/2012;Semileves;Agrale;9
01/04/2012;Semileves;Agrale;2
01/05/2012;Semileves;Agrale;1
01/06/2012;Semileves;Agrale;0
01/07/2012;Semileves;Agrale;1
01/08/2012;Semileves;Agrale;6
01/09/2012;Semileves;Agrale;11
01/10/2012;Semileves;Agrale;5
01/11/2012;Semileves;Agrale;0
01/12/2012;Semileves;Agrale;1
01/01/2012;Semileves;FCA (Fiat/Dodge);2
01/02/2012;Semileves;FCA (Fiat/Dodge);2
01/03/2012;Semileves;FCA (Fiat/Dodge);328
01/04/2012;Semileves;FCA (Fiat/Dodge);265
01/05/2012;Semileves;FCA (Fiat/Dodge);68
01/06/2012;Semileves;FCA (Fiat/Dodge);86
01/07/2012;Semileves;FCA (Fiat/Dodge);185
01/08/2012;Semileves;FCA (Fiat/Dodge);98
01/09/2012;Semileves;FCA (Fiat/Dodge);78
01/10/2012;Semileves;FCA (Fiat/Dodge);76
01/11/2012;Semileves;FCA (Fiat/Dodge);50
01/12/2012;Semileves;FCA (Fiat/Dodge);85
01/01/2012;Semileves;Ford;255
01/02/2012;Semileves;Ford;258
01/03/2012;Semileves;Ford;255
01/04/2012;Semileves;Ford;145
01/05/2012;Semileves;Ford;148
01/06/2012;Semileves;Ford;84
01/07/2012;Semileves;Ford;81
01/08/2012;Semileves;Ford;34
01/09/2012;Semileves;Ford;14
01/10/2012;Semileves;Ford;9
01/11/2012;Semileves;Ford;0
01/12/2012;Semileves;Ford;1
01/01/2012;Semileves;Iveco;161
01/02/2012;Semileves;Iveco;118
01/03/2012;Semileves;Iveco;142
01/04/2012;Semileves;Iveco;133
01/05/2012;Semileves;Iveco;142
01/06/2012;Semileves;Iveco;110
01/07/2012;Semileves;Iveco;108
01/08/2012;Semileves;Iveco;129
01/09/2012;Semileves;Iveco;105
01/10/2012;Semileves;Iveco;140
01/11/2012;Semileves;Iveco;167
01/12/2012;Semileves;Iveco;164
01/01/2012;Semileves;MAN;63
01/02/2012;Semileves;MAN;51
01/03/2012;Semileves;MAN;72
01/04/2012;Semileves;MAN;84
01/05/2012;Semileves;MAN;78
01/06/2012;Semileves;MAN;76
01/07/2012;Semileves;MAN;101
01/08/2012;Semileves;MAN;127
01/09/2012;Semileves;MAN;55
01/10/2012;Semileves;MAN;104
01/11/2012;Semileves;MAN;86
01/12/2012;Semileves;MAN;77
01/01/2012;Semileves;Mercedes-Benz;82
01/02/2012;Semileves;Mercedes-Benz;81
01/03/2012;Semileves;Mercedes-Benz;108
01/04/2012;Semileves;Mercedes-Benz;56
01/05/2012;Semileves;Mercedes-Benz;49
01/06/2012;Semileves;Mercedes-Benz;19
01/07/2012;Semileves;Mercedes-Benz;50
01/08/2012;Semileves;Mercedes-Benz;60
01/09/2012;Semileves;Mercedes-Benz;83
01/10/2012;Semileves;Mercedes-Benz;109
01/11/2012;Semileves;Mercedes-Benz;79
01/12/2012;Semileves;Mercedes-Benz;86
01/01/2012;Semileves;Outras empresas;16
01/02/2012;Semileves;Outras empresas;22
01/03/2012;Semileves;Outras empresas;47
01/04/2012;Semileves;Outras empresas;38
01/05/2012;Semileves;Outras empresas;42
01/06/2012;Semileves;Outras empresas;44
01/07/2012;Semileves;Outras empresas;40
01/08/2012;Semileves;Outras empresas;49
01/09/2012;Semileves;Outras empresas;42
01/10/2012;Semileves;Outras empresas;44
01/11/2012;Semileves;Outras empresas;40
01/12/2012;Semileves;Outras empresas;28
01/01/2012;Leves;Agrale;39
01/02/2012;Leves;Agrale;31
01/03/2012;Leves;Agrale;48
01/04/2012;Leves;Agrale;30
01/05/2012;Leves;Agrale;35
01/06/2012;Leves;Agrale;27
01/07/2012;Leves;Agrale;15
01/08/2012;Leves;Agrale;20
01/09/2012;Leves;Agrale;26
01/10/2012;Leves;Agrale;32
01/11/2012;Leves;Agrale;25
01/12/2012;Leves;Agrale;28
01/01/2012;Leves;Caoa - Hyundai;1
01/02/2012;Leves;Caoa - Hyundai;5
01/03/2012;Leves;Caoa - Hyundai;8
01/04/2012;Leves;Caoa - Hyundai;2
01/05/2012;Leves;Caoa - Hyundai;18
01/06/2012;Leves;Caoa - Hyundai;9
01/07/2012;Leves;Caoa - Hyundai;6
01/08/2012;Leves;Caoa - Hyundai;18
01/09/2012;Leves;Caoa - Hyundai;14
01/10/2012;Leves;Caoa - Hyundai;19
01/11/2012;Leves;Caoa - Hyundai;10
01/12/2012;Leves;Caoa - Hyundai;23
01/01/2012;Leves;Ford;817
01/02/2012;Leves;Ford;616
01/03/2012;Leves;Ford;675
01/04/2012;Leves;Ford;523
01/05/2012;Leves;Ford;571
01/06/2012;Leves;Ford;518
01/07/2012;Leves;Ford;540
01/08/2012;Leves;Ford;617
01/09/2012;Leves;Ford;572
01/10/2012;Leves;Ford;593
01/11/2012;Leves;Ford;656
01/12/2012;Leves;Ford;645
01/01/2012;Leves;Iveco;232
01/02/2012;Leves;Iveco;185
01/03/2012;Leves;Iveco;233
01/04/2012;Leves;Iveco;160
01/05/2012;Leves;Iveco;199
01/06/2012;Leves;Iveco;163
01/07/2012;Leves;Iveco;137
01/08/2012;Leves;Iveco;166
01/09/2012;Leves;Iveco;138
01/10/2012;Leves;Iveco;150
01/11/2012;Leves;Iveco;188
01/12/2012;Leves;Iveco;167
01/01/2012;Leves;MAN;1010
01/02/2012;Leves;MAN;956
01/03/2012;Leves;MAN;1372
01/04/2012;Leves;MAN;1132
01/05/2012;Leves;MAN;1010
01/06/2012;Leves;MAN;1077
01/07/2012;Leves;MAN;974
01/08/2012;Leves;MAN;955
01/09/2012;Leves;MAN;822
01/10/2012;Leves;MAN;1056
01/11/2012;Leves;MAN;1170
01/12/2012;Leves;MAN;1309
01/01/2012;Leves;Mercedes-Benz;787
01/02/2012;Leves;Mercedes-Benz;792
01/03/2012;Leves;Mercedes-Benz;913
01/04/2012;Leves;Mercedes-Benz;730
01/05/2012;Leves;Mercedes-Benz;821
01/06/2012;Leves;Mercedes-Benz;848
01/07/2012;Leves;Mercedes-Benz;870
01/08/2012;Leves;Mercedes-Benz;923
01/09/2012;Leves;Mercedes-Benz;732
01/10/2012;Leves;Mercedes-Benz;1010
01/11/2012;Leves;Mercedes-Benz;989
01/12/2012;Leves;Mercedes-Benz;855
01/01/2012;Leves;Outras empresas;9
01/02/2012;Leves;Outras empresas;23
01/03/2012;Leves;Outras empresas;19
01/04/2012;Leves;Outras empresas;24
01/05/2012;Leves;Outras empresas;27
01/06/2012;Leves;Outras empresas;16
01/07/2012;Leves;Outras empresas;23
01/08/2012;Leves;Outras empresas;25
01/09/2012;Leves;Outras empresas;21
01/10/2012;Leves;Outras empresas;21
01/11/2012;Leves;Outras empresas;39
01/12/2012;Leves;Outras empresas;36
01/01/2012;Médios;Agrale;17
01/02/2012;Médios;Agrale;15
01/03/2012;Médios;Agrale;11
01/04/2012;Médios;Agrale;14
01/05/2012;Médios;Agrale;11
01/06/2012;Médios;Agrale;11
01/07/2012;Médios;Agrale;11
01/08/2012;Médios;Agrale;12
01/09/2012;Médios;Agrale;11
01/10/2012;Médios;Agrale;25
01/11/2012;Médios;Agrale;8
01/12/2012;Médios;Agrale;10
01/01/2012;Médios;Ford;220
01/02/2012;Médios;Ford;201
01/03/2012;Médios;Ford;184
01/04/2012;Médios;Ford;194
01/05/2012;Médios;Ford;199
01/06/2012;Médios;Ford;225
01/07/2012;Médios;Ford;227
01/08/2012;Médios;Ford;255
01/09/2012;Médios;Ford;209
01/10/2012;Médios;Ford;258
01/11/2012;Médios;Ford;253
01/12/2012;Médios;Ford;222
01/01/2012;Médios;Iveco;28
01/02/2012;Médios;Iveco;48
01/03/2012;Médios;Iveco;37
01/04/2012;Médios;Iveco;34
01/05/2012;Médios;Iveco;35
01/06/2012;Médios;Iveco;38
01/07/2012;Médios;Iveco;17
01/08/2012;Médios;Iveco;16
01/09/2012;Médios;Iveco;6
01/10/2012;Médios;Iveco;5
01/11/2012;Médios;Iveco;3
01/12/2012;Médios;Iveco;0
01/01/2012;Médios;MAN;505
01/02/2012;Médios;MAN;492
01/03/2012;Médios;MAN;789
01/04/2012;Médios;MAN;655
01/05/2012;Médios;MAN;594
01/06/2012;Médios;MAN;530
01/07/2012;Médios;MAN;461
01/08/2012;Médios;MAN;468
01/09/2012;Médios;MAN;401
01/10/2012;Médios;MAN;458
01/11/2012;Médios;MAN;453
01/12/2012;Médios;MAN;553
01/01/2012;Médios;Mercedes-Benz;182
01/02/2012;Médios;Mercedes-Benz;154
01/03/2012;Médios;Mercedes-Benz;164
01/04/2012;Médios;Mercedes-Benz;166
01/05/2012;Médios;Mercedes-Benz;175
01/06/2012;Médios;Mercedes-Benz;255
01/07/2012;Médios;Mercedes-Benz;244
01/08/2012;Médios;Mercedes-Benz;247
01/09/2012;Médios;Mercedes-Benz;211
01/10/2012;Médios;Mercedes-Benz;226
01/11/2012;Médios;Mercedes-Benz;177
01/12/2012;Médios;Mercedes-Benz;218
01/01/2012;Médios;Outras empresas;0
01/02/2012;Médios;Outras empresas;0
01/03/2012;Médios;Outras empresas;0
01/04/2012;Médios;Outras empresas;0
01/05/2012;Médios;Outras empresas;0
01/06/2012;Médios;Outras empresas;0
01/07/2012;Médios;Outras empresas;0
01/08/2012;Médios;Outras empresas;1
01/09/2012;Médios;Outras empresas;0
01/10/2012;Médios;Outras empresas;0
01/11/2012;Médios;Outras empresas;0
01/12/2012;Médios;Outras empresas;0
01/01/2012;Semipesados;Agrale;0
01/02/2012;Semipesados;Agrale;0
01/03/2012;Semipesados;Agrale;0
01/04/2012;Semipesados;Agrale;0
01/05/2012;Semipesados;Agrale;0
01/06/2012;Semipesados;Agrale;1
01/07/2012;Semipesados;Agrale;2
01/08/2012;Semipesados;Agrale;6
01/09/2012;Semipesados;Agrale;3
01/10/2012;Semipesados;Agrale;4
01/11/2012;Semipesados;Agrale;1
01/12/2012;Semipesados;Agrale;2
01/01/2012;Semipesados;DAF;0
01/02/2012;Semipesados;DAF;0
01/03/2012;Semipesados;DAF;0
01/04/2012;Semipesados;DAF;0
01/05/2012;Semipesados;DAF;0
01/06/2012;Semipesados;DAF;0
01/07/2012;Semipesados;DAF;0
01/08/2012;Semipesados;DAF;0
01/09/2012;Semipesados;DAF;0
01/10/2012;Semipesados;DAF;0
01/11/2012;Semipesados;DAF;0
01/12/2012;Semipesados;DAF;0
01/01/2012;Semipesados;Ford;755
01/02/2012;Semipesados;Ford;792
01/03/2012;Semipesados;Ford;970
01/04/2012;Semipesados;Ford;744
01/05/2012;Semipesados;Ford;690
01/06/2012;Semipesados;Ford;736
01/07/2012;Semipesados;Ford;784
01/08/2012;Semipesados;Ford;862
01/09/2012;Semipesados;Ford;713
01/10/2012;Semipesados;Ford;746
01/11/2012;Semipesados;Ford;779
01/12/2012;Semipesados;Ford;950
01/01/2012;Semipesados;INTERNATIONAL;9
01/02/2012;Semipesados;INTERNATIONAL;4
01/03/2012;Semipesados;INTERNATIONAL;3
01/04/2012;Semipesados;INTERNATIONAL;3
01/05/2012;Semipesados;INTERNATIONAL;6
01/06/2012;Semipesados;INTERNATIONAL;6
01/07/2012;Semipesados;INTERNATIONAL;3
01/08/2012;Semipesados;INTERNATIONAL;5
01/09/2012;Semipesados;INTERNATIONAL;1
01/10/2012;Semipesados;INTERNATIONAL;2
01/11/2012;Semipesados;INTERNATIONAL;1
01/12/2012;Semipesados;INTERNATIONAL;1
01/01/2012;Semipesados;Iveco;300
01/02/2012;Semipesados;Iveco;234
01/03/2012;Semipesados;Iveco;305
01/04/2012;Semipesados;Iveco;258
01/05/2012;Semipesados;Iveco;255
01/06/2012;Semipesados;Iveco;178
01/07/2012;Semipesados;Iveco;280
01/08/2012;Semipesados;Iveco;269
01/09/2012;Semipesados;Iveco;205
01/10/2012;Semipesados;Iveco;251
01/11/2012;Semipesados;Iveco;266
01/12/2012;Semipesados;Iveco;223
01/01/2012;Semipesados;MAN;1321
01/02/2012;Semipesados;MAN;1326
01/03/2012;Semipesados;MAN;1781
01/04/2012;Semipesados;MAN;1505
01/05/2012;Semipesados;MAN;1466
01/06/2012;Semipesados;MAN;1271
01/07/2012;Semipesados;MAN;1274
01/08/2012;Semipesados;MAN;1222
01/09/2012;Semipesados;MAN;915
01/10/2012;Semipesados;MAN;1186
01/11/2012;Semipesados;MAN;1434
01/12/2012;Semipesados;MAN;1547
01/01/2012;Semipesados;Mercedes-Benz;1090
01/02/2012;Semipesados;Mercedes-Benz;1157
01/03/2012;Semipesados;Mercedes-Benz;1329
01/04/2012;Semipesados;Mercedes-Benz;989
01/05/2012;Semipesados;Mercedes-Benz;972
01/06/2012;Semipesados;Mercedes-Benz;798
01/07/2012;Semipesados;Mercedes-Benz;709
01/08/2012;Semipesados;Mercedes-Benz;837
01/09/2012;Semipesados;Mercedes-Benz;663
01/10/2012;Semipesados;Mercedes-Benz;854
01/11/2012;Semipesados;Mercedes-Benz;909
01/12/2012;Semipesados;Mercedes-Benz;934
01/01/2012;Semipesados;SCANIA;71
01/02/2012;Semipesados;SCANIA;29
01/03/2012;Semipesados;SCANIA;27
01/04/2012;Semipesados;SCANIA;64
01/05/2012;Semipesados;SCANIA;67
01/06/2012;Semipesados;SCANIA;111
01/07/2012;Semipesados;SCANIA;73
01/08/2012;Semipesados;SCANIA;111
01/09/2012;Semipesados;SCANIA;84
01/10/2012;Semipesados;SCANIA;167
01/11/2012;Semipesados;SCANIA;168
01/12/2012;Semipesados;SCANIA;164
01/01/2012;Semipesados;VOLVO;425
01/02/2012;Semipesados;VOLVO;380
01/03/2012;Semipesados;VOLVO;418
01/04/2012;Semipesados;VOLVO;360
01/05/2012;Semipesados;VOLVO;405
01/06/2012;Semipesados;VOLVO;355
01/07/2012;Semipesados;VOLVO;343
01/08/2012;Semipesados;VOLVO;412
01/09/2012;Semipesados;VOLVO;264
01/10/2012;Semipesados;VOLVO;413
01/11/2012;Semipesados;VOLVO;457
01/12/2012;Semipesados;VOLVO;411
01/01/2012;Semipesados;Outras empresas;0
01/02/2012;Semipesados;Outras empresas;1
01/03/2012;Semipesados;Outras empresas;1
01/04/2012;Semipesados;Outras empresas;0
01/05/2012;Semipesados;Outras empresas;0
01/06/2012;Semipesados;Outras empresas;0
01/07/2012;Semipesados;Outras empresas;0
01/08/2012;Semipesados;Outras empresas;1
01/09/2012;Semipesados;Outras empresas;0
01/10/2012;Semipesados;Outras empresas;0
01/11/2012;Semipesados;Outras empresas;0
01/12/2012;Semipesados;Outras empresas;0
01/01/2012;Pesados;DAF;0
01/02/2012;Pesados;DAF;0
01/03/2012;Pesados;DAF;0
01/04/2012;Pesados;DAF;1
01/05/2012;Pesados;DAF;0
01/06/2012;Pesados;DAF;2
01/07/2012;Pesados;DAF;0
01/08/2012;Pesados;DAF;0
01/09/2012;Pesados;DAF;0
01/10/2012;Pesados;DAF;0
01/11/2012;Pesados;DAF;0
01/12/2012;Pesados;DAF;0
01/01/2012;Pesados;Ford;91
01/02/2012;Pesados;Ford;81
01/03/2012;Pesados;Ford;107
01/04/2012;Pesados;Ford;90
01/05/2012;Pesados;Ford;82
01/06/2012;Pesados;Ford;88
01/07/2012;Pesados;Ford;61
01/08/2012;Pesados;Ford;79
01/09/2012;Pesados;Ford;54
01/10/2012;Pesados;Ford;85
01/11/2012;Pesados;Ford;77
01/12/2012;Pesados;Ford;95
01/01/2012;Pesados;INTERNATIONAL;43
01/02/2012;Pesados;INTERNATIONAL;42
01/03/2012;Pesados;INTERNATIONAL;25
01/04/2012;Pesados;INTERNATIONAL;21
01/05/2012;Pesados;INTERNATIONAL;28
01/06/2012;Pesados;INTERNATIONAL;14
01/07/2012;Pesados;INTERNATIONAL;38
01/08/2012;Pesados;INTERNATIONAL;60
01/09/2012;Pesados;INTERNATIONAL;18
01/10/2012;Pesados;INTERNATIONAL;73
01/11/2012;Pesados;INTERNATIONAL;73
01/12/2012;Pesados;INTERNATIONAL;43
01/01/2012;Pesados;Iveco;448
01/02/2012;Pesados;Iveco;327
01/03/2012;Pesados;Iveco;307
01/04/2012;Pesados;Iveco;241
01/05/2012;Pesados;Iveco;184
01/06/2012;Pesados;Iveco;178
01/07/2012;Pesados;Iveco;250
01/08/2012;Pesados;Iveco;234
01/09/2012;Pesados;Iveco;167
01/10/2012;Pesados;Iveco;384
01/11/2012;Pesados;Iveco;372
01/12/2012;Pesados;Iveco;257
01/01/2012;Pesados;MAN;654
01/02/2012;Pesados;MAN;410
01/03/2012;Pesados;MAN;430
01/04/2012;Pesados;MAN;361
01/05/2012;Pesados;MAN;386
01/06/2012;Pesados;MAN;498
01/07/2012;Pesados;MAN;389
01/08/2012;Pesados;MAN;420
01/09/2012;Pesados;MAN;231
01/10/2012;Pesados;MAN;357
01/11/2012;Pesados;MAN;420
01/12/2012;Pesados;MAN;442
01/01/2012;Pesados;Mercedes-Benz;1107
01/02/2012;Pesados;Mercedes-Benz;921
01/03/2012;Pesados;Mercedes-Benz;1051
01/04/2012;Pesados;Mercedes-Benz;726
01/05/2012;Pesados;Mercedes-Benz;765
01/06/2012;Pesados;Mercedes-Benz;755
01/07/2012;Pesados;Mercedes-Benz;712
01/08/2012;Pesados;Mercedes-Benz;800
01/09/2012;Pesados;Mercedes-Benz;609
01/10/2012;Pesados;Mercedes-Benz;840
01/11/2012;Pesados;Mercedes-Benz;853
01/12/2012;Pesados;Mercedes-Benz;715
01/01/2012;Pesados;SCANIA;1045
01/02/2012;Pesados;SCANIA;430
01/03/2012;Pesados;SCANIA;765
01/04/2012;Pesados;SCANIA;654
01/05/2012;Pesados;SCANIA;621
01/06/2012;Pesados;SCANIA;843
01/07/2012;Pesados;SCANIA;878
01/08/2012;Pesados;SCANIA;798
01/09/2012;Pesados;SCANIA;375
01/10/2012;Pesados;SCANIA;1247
01/11/2012;Pesados;SCANIA;1116
01/12/2012;Pesados;SCANIA;1170
01/01/2012;Pesados;VOLVO;1124
01/02/2012;Pesados;VOLVO;671
01/03/2012;Pesados;VOLVO;684
01/04/2012;Pesados;VOLVO;625
01/05/2012;Pesados;VOLVO;658
01/06/2012;Pesados;VOLVO;748
01/07/2012;Pesados;VOLVO;1001
01/08/2012;Pesados;VOLVO;1084
01/09/2012;Pesados;VOLVO;649
01/10/2012;Pesados;VOLVO;1629
01/11/2012;Pesados;VOLVO;1251
01/12/2012;Pesados;VOLVO;1111
01/01/2012;Pesados;Shacman;0
01/02/2012;Pesados;Shacman;8
01/03/2012;Pesados;Shacman;0
01/04/2012;Pesados;Shacman;0
01/05/2012;Pesados;Shacman;0
01/06/2012;Pesados;Shacman;0
01/07/2012;Pesados;Shacman;0
01/08/2012;Pesados;Shacman;6
01/09/2012;Pesados;Shacman;0
01/10/2012;Pesados;Shacman;1
01/11/2012;Pesados;Shacman;0
01/12/2012;Pesados;Shacman;1
01/01/2012;Pesados;Outras empresas;107
01/02/2012;Pesados;Outras empresas;65
01/03/2012;Pesados;Outras empresas;75
01/04/2012;Pesados;Outras empresas;84
01/05/2012;Pesados;Outras empresas;73
01/06/2012;Pesados;Outras empresas;58
01/07/2012;Pesados;Outras empresas;27
01/08/2012;Pesados;Outras empresas;34
01/09/2012;Pesados;Outras empresas;49
01/10/2012;Pesados;Outras empresas;45
01/11/2012;Pesados;Outras empresas;38
01/12/2012;Pesados;Outras empresas;29
01/01/2013;Semileves;Agrale;0
01/02/2013;Semileves;Agrale;0
01/03/2013;Semileves;Agrale;8
01/04/2013;Semileves;Agrale;5
01/05/2013;Semileves;Agrale;1
01/06/2013;Semileves;Agrale;3
01/07/2013;Semileves;Agrale;0
01/08/2013;Semileves;Agrale;4
01/09/2013;Semileves;Agrale;2
01/10/2013;Semileves;Agrale;0
01/11/2013;Semileves;Agrale;0
01/12/2013;Semileves;Agrale;5
01/01/2013;Semileves;FCA (Fiat/Dodge);53
01/02/2013;Semileves;FCA (Fiat/Dodge);56
01/03/2013;Semileves;FCA (Fiat/Dodge);53
01/04/2013;Semileves;FCA (Fiat/Dodge);21
01/05/2013;Semileves;FCA (Fiat/Dodge);101
01/06/2013;Semileves;FCA (Fiat/Dodge);90
01/07/2013;Semileves;FCA (Fiat/Dodge);102
01/08/2013;Semileves;FCA (Fiat/Dodge);121
01/09/2013;Semileves;FCA (Fiat/Dodge);112
01/10/2013;Semileves;FCA (Fiat/Dodge);85
01/11/2013;Semileves;FCA (Fiat/Dodge);99
01/12/2013;Semileves;FCA (Fiat/Dodge);82
01/01/2013;Semileves;Ford;2
01/02/2013;Semileves;Ford;2
01/03/2013;Semileves;Ford;0
01/04/2013;Semileves;Ford;0
01/05/2013;Semileves;Ford;1
01/06/2013;Semileves;Ford;0
01/07/2013;Semileves;Ford;2
01/08/2013;Semileves;Ford;0
01/09/2013;Semileves;Ford;1
01/10/2013;Semileves;Ford;0
01/11/2013;Semileves;Ford;0
01/12/2013;Semileves;Ford;0
01/01/2013;Semileves;Iveco;163
01/02/2013;Semileves;Iveco;155
01/03/2013;Semileves;Iveco;186
01/04/2013;Semileves;Iveco;183
01/05/2013;Semileves;Iveco;105
01/06/2013;Semileves;Iveco;124
01/07/2013;Semileves;Iveco;146
01/08/2013;Semileves;Iveco;150
01/09/2013;Semileves;Iveco;138
01/10/2013;Semileves;Iveco;123
01/11/2013;Semileves;Iveco;115
01/12/2013;Semileves;Iveco;138
01/01/2013;Semileves;MAN;74
01/02/2013;Semileves;MAN;70
01/03/2013;Semileves;MAN;73
01/04/2013;Semileves;MAN;108
01/05/2013;Semileves;MAN;123
01/06/2013;Semileves;MAN;84
01/07/2013;Semileves;MAN;142
01/08/2013;Semileves;MAN;107
01/09/2013;Semileves;MAN;72
01/10/2013;Semileves;MAN;79
01/11/2013;Semileves;MAN;72
01/12/2013;Semileves;MAN;80
01/01/2013;Semileves;Mercedes-Benz;93
01/02/2013;Semileves;Mercedes-Benz;72
01/03/2013;Semileves;Mercedes-Benz;123
01/04/2013;Semileves;Mercedes-Benz;110
01/05/2013;Semileves;Mercedes-Benz;96
01/06/2013;Semileves;Mercedes-Benz;83
01/07/2013;Semileves;Mercedes-Benz;115
01/08/2013;Semileves;Mercedes-Benz;130
01/09/2013;Semileves;Mercedes-Benz;131
01/10/2013;Semileves;Mercedes-Benz;128
01/11/2013;Semileves;Mercedes-Benz;134
01/12/2013;Semileves;Mercedes-Benz;97
01/01/2013;Semileves;Outras empresas;19
01/02/2013;Semileves;Outras empresas;24
01/03/2013;Semileves;Outras empresas;25
01/04/2013;Semileves;Outras empresas;59
01/05/2013;Semileves;Outras empresas;39
01/06/2013;Semileves;Outras empresas;38
01/07/2013;Semileves;Outras empresas;37
01/08/2013;Semileves;Outras empresas;29
01/09/2013;Semileves;Outras empresas;39
01/10/2013;Semileves;Outras empresas;36
01/11/2013;Semileves;Outras empresas;28
01/12/2013;Semileves;Outras empresas;16
01/01/2013;Leves;Agrale;34
01/02/2013;Leves;Agrale;24
01/03/2013;Leves;Agrale;28
01/04/2013;Leves;Agrale;33
01/05/2013;Leves;Agrale;29
01/06/2013;Leves;Agrale;19
01/07/2013;Leves;Agrale;30
01/08/2013;Leves;Agrale;24
01/09/2013;Leves;Agrale;17
01/10/2013;Leves;Agrale;29
01/11/2013;Leves;Agrale;26
01/12/2013;Leves;Agrale;26
01/01/2013;Leves;Caoa - Hyundai;15
01/02/2013;Leves;Caoa - Hyundai;24
01/03/2013;Leves;Caoa - Hyundai;33
01/04/2013;Leves;Caoa - Hyundai;21
01/05/2013;Leves;Caoa - Hyundai;27
01/06/2013;Leves;Caoa - Hyundai;60
01/07/2013;Leves;Caoa - Hyundai;21
01/08/2013;Leves;Caoa - Hyundai;29
01/09/2013;Leves;Caoa - Hyundai;11
01/10/2013;Leves;Caoa - Hyundai;23
01/11/2013;Leves;Caoa - Hyundai;18
01/12/2013;Leves;Caoa - Hyundai;17
01/01/2013;Leves;Ford;620
01/02/2013;Leves;Ford;487
01/03/2013;Leves;Ford;521
01/04/2013;Leves;Ford;601
01/05/2013;Leves;Ford;522
01/06/2013;Leves;Ford;597
01/07/2013;Leves;Ford;697
01/08/2013;Leves;Ford;687
01/09/2013;Leves;Ford;590
01/10/2013;Leves;Ford;607
01/11/2013;Leves;Ford;500
01/12/2013;Leves;Ford;669
01/01/2013;Leves;Iveco;192
01/02/2013;Leves;Iveco;176
01/03/2013;Leves;Iveco;170
01/04/2013;Leves;Iveco;190
01/05/2013;Leves;Iveco;195
01/06/2013;Leves;Iveco;366
01/07/2013;Leves;Iveco;239
01/08/2013;Leves;Iveco;195
01/09/2013;Leves;Iveco;211
01/10/2013;Leves;Iveco;250
01/11/2013;Leves;Iveco;171
01/12/2013;Leves;Iveco;216
01/01/2013;Leves;MAN;1106
01/02/2013;Leves;MAN;821
01/03/2013;Leves;MAN;927
01/04/2013;Leves;MAN;1130
01/05/2013;Leves;MAN;1093
01/06/2013;Leves;MAN;1039
01/07/2013;Leves;MAN;1258
01/08/2013;Leves;MAN;1135
01/09/2013;Leves;MAN;1062
01/10/2013;Leves;MAN;1183
01/11/2013;Leves;MAN;860
01/12/2013;Leves;MAN;1079
01/01/2013;Leves;Mercedes-Benz;918
01/02/2013;Leves;Mercedes-Benz;622
01/03/2013;Leves;Mercedes-Benz;836
01/04/2013;Leves;Mercedes-Benz;1065
01/05/2013;Leves;Mercedes-Benz;1002
01/06/2013;Leves;Mercedes-Benz;875
01/07/2013;Leves;Mercedes-Benz;1120
01/08/2013;Leves;Mercedes-Benz;1021
01/09/2013;Leves;Mercedes-Benz;934
01/10/2013;Leves;Mercedes-Benz;927
01/11/2013;Leves;Mercedes-Benz;742
01/12/2013;Leves;Mercedes-Benz;820
01/01/2013;Leves;Outras empresas;22
01/02/2013;Leves;Outras empresas;22
01/03/2013;Leves;Outras empresas;14
01/04/2013;Leves;Outras empresas;36
01/05/2013;Leves;Outras empresas;31
01/06/2013;Leves;Outras empresas;23
01/07/2013;Leves;Outras empresas;23
01/08/2013;Leves;Outras empresas;16
01/09/2013;Leves;Outras empresas;10
01/10/2013;Leves;Outras empresas;12
01/11/2013;Leves;Outras empresas;10
01/12/2013;Leves;Outras empresas;9
01/01/2013;Médios;Agrale;9
01/02/2013;Médios;Agrale;11
01/03/2013;Médios;Agrale;7
01/04/2013;Médios;Agrale;8
01/05/2013;Médios;Agrale;1
01/06/2013;Médios;Agrale;14
01/07/2013;Médios;Agrale;9
01/08/2013;Médios;Agrale;1
01/09/2013;Médios;Agrale;8
01/10/2013;Médios;Agrale;8
01/11/2013;Médios;Agrale;4
01/12/2013;Médios;Agrale;4
01/01/2013;Médios;Ford;246
01/02/2013;Médios;Ford;200
01/03/2013;Médios;Ford;161
01/04/2013;Médios;Ford;304
01/05/2013;Médios;Ford;200
01/06/2013;Médios;Ford;187
01/07/2013;Médios;Ford;256
01/08/2013;Médios;Ford;229
01/09/2013;Médios;Ford;175
01/10/2013;Médios;Ford;174
01/11/2013;Médios;Ford;143
01/12/2013;Médios;Ford;200
01/01/2013;Médios;Iveco;1
01/02/2013;Médios;Iveco;3
01/03/2013;Médios;Iveco;10
01/04/2013;Médios;Iveco;23
01/05/2013;Médios;Iveco;25
01/06/2013;Médios;Iveco;25
01/07/2013;Médios;Iveco;30
01/08/2013;Médios;Iveco;62
01/09/2013;Médios;Iveco;49
01/10/2013;Médios;Iveco;35
01/11/2013;Médios;Iveco;34
01/12/2013;Médios;Iveco;51
01/01/2013;Médios;MAN;497
01/02/2013;Médios;MAN;348
01/03/2013;Médios;MAN;518
01/04/2013;Médios;MAN;560
01/05/2013;Médios;MAN;472
01/06/2013;Médios;MAN;467
01/07/2013;Médios;MAN;521
01/08/2013;Médios;MAN;520
01/09/2013;Médios;MAN;557
01/10/2013;Médios;MAN;522
